% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
174 +7.716025166e+01 +7.716025166e+01 +6.795025166e+01 +6.795025166e+01 +6.9557e+00 -1.2368e+00 -8.7885e+00 -7.2295e+00 -1.2714e+01 +3.1007e+00 +2.7990e+00 -2.2628e+00 +5.4078e+00 -1.7567e+01 -5.4070e+00 -4.1133e+00 +8.5417e+00 +1.2361e+01 -4.9391e+00 -4.3201e+00 +9.9095e+00 +1.0604e+01 -4.7656e+00 +6.1354e+00
184 +6.978117725e+01 +6.978117725e+01 +6.057117725e+01 +6.057117725e+01 +7.6952e+00 -1.4513e+00 -7.9627e+00 -5.8010e+00 -1.5599e+01 +2.9845e+00 +4.1991e+00 -2.8902e+00 +5.2343e+00 -1.8374e+01 -6.7205e+00 -4.4306e+00 +8.9199e+00 +1.2545e+01 -5.3750e+00 -5.3500e+00 +7.2351e+00 +1.2234e+01 -4.4916e+00 +5.7090e+00
189 +6.441022746e+01 +6.441022746e+01 +5.520022746e+01 +5.520022746e+01 +5.6322e+00 -1.1018e+00 -9.2408e+00 -6.7951e+00 -1.1927e+01 +4.1635e+00 +4.3135e+00 -2.7348e+00 +6.8091e+00 -1.8285e+01 -5.3501e+00 -4.9390e+00 +8.9562e+00 +1.1741e+01 -4.7878e+00 -5.9439e+00 +8.2703e+00 +1.1382e+01 -6.1780e+00 +7.1293e+00
195 +5.817946706e+01 +5.817946706e+01 +4.896946706e+01 +4.896946706e+01 +4.1069e+00 +2.8348e-01 -7.6053e+00 -5.1618e+00 -9.3214e+00 +4.0965e+00 +4.7126e+00 -2.9678e+00 +6.8197e+00 -1.6796e+01 -4.8747e+00 -5.7009e+00 +7.8834e+00 +1.0475e+01 -5.0785e+00 -5.8159e+00 +7.6697e+00 +1.0990e+01 -6.1358e+00 +6.7230e+00
223 +5.718802744e+01 +5.718802744e+01 +4.797802744e+01 +4.797802744e+01 +6.0175e+00 -6.1986e-01 -7.5021e+00 -4.8104e+00 -9.0564e+00 +4.5871e+00 +5.0536e+00 -1.8584e+00 +4.8851e+00 -1.7624e+01 -3.8921e+00 -5.0586e+00 +1.0218e+01 +1.0990e+01 -6.5340e+00 -6.6496e+00 +8.5022e+00 +1.0030e+01 -1.0417e+01 +7.6916e+00
232 +5.268304516e+01 +5.268304516e+01 +4.347304516e+01 +4.347304516e+01 +8.3071e+00 +8.5842e-01 -8.0227e+00 -7.0189e+00 -1.0126e+01 +5.0847e+00 +5.3527e+00 +1.4143e-01 +7.3860e+00 -1.9762e+01 -4.1736e+00 -9.7792e+00 +1.1082e+01 +1.0464e+01 -6.7219e+00 -6.2454e+00 +8.6037e+00 +1.1851e+01 -9.2610e+00 +8.6154e+00
240 +5.120199990e+01 +5.120199990e+01 +4.199199990e+01 +4.199199990e+01 +8.4427e+00 +4.3674e-01 -7.8068e+00 -4.9594e+00 -1.1165e+01 +4.7263e+00 +5.6437e+00 -1.3808e+00 +5.5231e+00 -2.0842e+01 -6.2444e+00 -8.9541e+00 +1.5947e+01 +1.1464e+01 -6.6418e+00 -7.8851e+00 +6.7311e+00 +1.1640e+01 -1.0177e+01 +6.9208e+00
242 +5.001386893e+01 +5.001386893e+01 +4.080386893e+01 +4.080386893e+01 +1.1361e+01 +1.1220e-01 -7.6486e+00 -6.8799e+00 -1.2595e+01 +5.5809e+00 +5.1110e+00 +1.6643e-01 +6.9099e+00 -2.1740e+01 -5.4508e+00 -1.0046e+01 +1.5379e+01 +1.1208e+01 -5.3071e+00 -9.2770e+00 +6.4228e+00 +1.1579e+01 -1.0580e+01 +6.7721e+00
245 +4.881508726e+01 +4.881508726e+01 +3.960508726e+01 +3.960508726e+01 +4.7532e+00 +7.1609e-01 -7.0950e+00 -4.2694e+00 -1.1266e+01 +5.1319e+00 +5.1272e+00 -1.1262e-01 +3.8452e+00 -1.9620e+01 -5.5208e+00 -7.3740e+00 +1.3338e+01 +1.2320e+01 -6.1657e+00 -7.3171e+00 +7.1988e+00 +1.0605e+01 -7.6262e+00 +6.1391e+00
257 +4.653278208e+01 +4.653278208e+01 +3.732278208e+01 +3.732278208e+01 +5.3664e+00 +1.7827e+00 -6.0605e+00 -3.5678e+00 -1.0688e+01 +4.9868e+00 +7.1544e+00 -9.1074e-01 +4.2831e+00 -2.0242e+01 -6.9968e+00 -6.9553e+00 +1.3540e+01 +1.3326e+01 -4.8603e+00 -6.4470e+00 +9.9906e+00 +9.6468e+00 -6.0851e+00 +7.2137e+00
