% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
476 +2.435582158e+01 +2.435582158e+01 +1.038358216e+02 +1.038358216e+02 -4.3533e-01 -3.9922e-01 -2.5693e+00 +9.4347e-01 -2.5727e+00 +1.4708e+00 -1.9449e+00 +3.8226e-03 -2.0456e+00 -1.3343e+00 -5.9903e+00 +2.2601e+00 +2.0842e+00 -6.2901e-01 +2.6031e+00 +1.7502e+00 +6.8973e-02 -5.1250e+00 +1.2727e+00 +7.3727e-01
489 +1.759594002e+01 +1.759594002e+01 +9.707594002e+01 +9.707594002e+01 -4.8699e-01 +5.1067e-01 -2.2266e+00 +1.4039e+00 -2.8607e+00 +1.3314e+00 -8.2915e-02 +6.6831e-01 -2.9234e+00 -1.6802e+00 -4.3961e+00 +1.1066e+00 +1.5253e+00 -2.3428e-01 +3.7260e+00 +1.9454e+00 -2.9166e-01 -4.6778e+00 +1.0557e+00 +2.9416e+00
712 +1.590216238e+01 +1.590216238e+01 +9.538216238e+01 +9.538216238e+01 +1.4719e+00 +2.7033e-01 -2.0034e-01 +1.6802e+00 -2.6638e+00 -9.5271e-01 -9.7891e-01 +7.4001e-02 -9.0017e-01 -2.1808e+00 -2.3177e+00 +3.0806e+00 +1.6312e+00 +8.4102e-01 +4.7444e+00 +2.6132e+00 +3.8469e-01 -3.5076e+00 +2.1106e+00 +8.5688e-02
1242 +1.312554298e+01 +1.312554298e+01 +9.260554298e+01 +9.260554298e+01 +1.0795e+00 -6.1534e-01 -1.2243e+00 +2.2137e+00 -2.1487e+00 +1.9288e+00 +6.1751e-01 -9.8284e-01 -1.6522e+00 -2.8869e+00 -2.5660e+00 +1.7630e+00 +9.5256e-01 +1.3806e-01 +2.0166e+00 +3.0344e+00 -6.2784e-01 -3.6440e+00 +1.7642e+00 -1.8272e-01
1270 +1.277993013e+01 +1.277993013e+01 +9.225993013e+01 +9.225993013e+01 +1.6374e+00 -9.8542e-01 -5.9182e-01 +1.2190e+00 -2.7131e+00 +1.1184e+00 -9.8609e-02 -7.8587e-01 -1.2011e+00 -2.6409e+00 -3.6160e+00 +1.1695e+00 +1.4690e+00 -4.0378e-01 +3.0654e+00 +3.3602e+00 +7.6316e-01 -1.4300e+00 +2.2316e+00 +1.1026e+00
1272 +1.191136351e+01 +1.191136351e+01 +9.139136351e+01 +9.139136351e+01 +6.2970e-01 -8.2383e-01 -2.4843e-01 +1.7106e+00 -2.1063e+00 -3.8912e-01 -5.1398e-01 +2.7643e-01 -9.6444e-01 -3.1523e+00 -2.8356e+00 +1.8269e+00 +1.1638e+00 -1.8199e-01 +4.2548e+00 +3.0384e+00 -4.2901e-01 -1.3368e+00 +1.1632e+00 +1.4332e+00
1414 +1.129611504e+01 +1.129611504e+01 +9.077611504e+01 +9.077611504e+01 -2.4897e-01 -1.0103e+00 -1.1624e+00 +2.0934e+00 -3.5158e+00 -3.0649e-02 +1.7211e-01 -1.3062e+00 -8.5858e-01 -3.5608e+00 -3.5762e+00 +1.9645e+00 +1.5422e+00 -5.6817e-01 +5.5280e+00 +1.5419e+00 -6.5192e-01 -3.4209e+00 +3.0091e+00 +1.5071e+00
1426 +7.524442483e+00 +7.524442483e+00 +8.700444248e+01 +8.700444248e+01 -2.5497e-01 -4.4397e-01 -5.5414e-01 +2.4866e+00 -3.5315e+00 +5.4186e-01 +6.8369e-01 -4.6004e-01 -1.8185e+00 -3.5305e+00 -3.1243e+00 +1.6835e+00 +5.6281e-01 +8.8195e-02 +4.4125e+00 +1.8472e+00 +4.1286e-01 -3.8361e+00 +3.0314e+00 +3.3997e-01
1964 +6.782036577e+00 +6.782036577e+00 +8.626203658e+01 +8.626203658e+01 +6.6091e-01 -7.9030e-01 +5.0641e-02 +2.5460e+00 -2.2504e+00 +1.9709e-01 -1.1126e+00 +4.4809e-01 -1.6265e+00 -3.5412e+00 -4.4784e+00 +2.0165e+00 +5.8396e-01 -9.4633e-01 +2.5806e+00 +3.1140e+00 +1.4195e-01 -4.7850e+00 +2.4671e+00 +6.2687e-01
3053 +6.747347846e+00 +6.747347846e+00 +8.622734785e+01 +8.622734785e+01 +1.3105e+00 -4.7238e-01 -1.0542e+00 +9.0763e-01 -2.4050e+00 +1.0245e+00 -1.1693e-01 +6.6091e-01 -1.3415e+00 -3.1286e+00 -3.1910e+00 +2.0194e+00 +1.9407e+00 +2.2069e-02 +4.6191e+00 +3.1602e+00 -8.5608e-02 -3.1584e+00 +1.7168e+00 +1.4549e+00
3065 +4.340210079e+00 +4.340210079e+00 +8.382021008e+01 +8.382021008e+01 +1.6626e-01 -6.2410e-01 -1.3775e+00 +1.4811e+00 -2.4032e+00 +7.7785e-01 -1.6417e-01 +1.3356e+00 -1.6299e+00 -2.9477e+00 -3.9963e+00 +2.4650e+00 +1.3177e+00 +2.8876e-01 +4.4371e+00 +2.8806e+00 -8.0260e-01 -3.4622e+00 +2.3465e+00 +1.2053e+00
3101 +4.109166309e+00 +4.109166309e+00 +8.358916631e+01 +8.358916631e+01 +8.3019e-01 -1.7426e+00 -6.1277e-01 +1.5493e+00 -2.8159e+00 +7.4334e-03 -2.1013e-01 -1.0272e-01 -1.5125e+00 -2.6847e+00 -4.5756e+00 +2.1219e+00 +1.6933e+00 +3.8589e-02 +3.2457e+00 +4.0891e+00 -6.9185e-01 -4.1441e+00 +2.2588e+00 +1.2342e+00
4424 +3.722903314e+00 +3.722903314e+00 +8.320290331e+01 +8.320290331e+01 +1.8245e-01 -1.6225e+00 -1.7174e-02 +1.7557e+00 -2.1274e+00 +5.1085e-01 -5.5009e-01 +6.0238e-01 -1.7930e+00 -2.2965e+00 -3.9152e+00 +2.7555e+00 +3.0169e-01 +3.0058e-01 +3.4851e+00 +2.7996e+00 -5.3773e-01 -3.6301e+00 +2.5122e+00 +1.4616e+00
4434 +2.943104283e+00 +2.943104283e+00 +8.242310428e+01 +8.242310428e+01 +9.1967e-01 -1.4400e+00 -3.7340e-01 +1.9075e+00 -2.4128e+00 +1.8452e-01 -4.2704e-01 +6.1421e-01 -2.2335e+00 -2.6295e+00 -3.5634e+00 +2.3585e+00 +8.6481e-01 +1.0577e-01 +3.2608e+00 +2.1571e+00 -7.7211e-02 -3.4587e+00 +2.1213e+00 +1.4080e+00
4847 +2.734085530e+00 +2.734085530e+00 +8.221408553e+01 +8.221408553e+01 +3.3805e-01 -1.6583e+00 -1.1461e+00 +2.1238e+00 -3.1681e+00 +1.2901e-01 -1.0430e-01 +8.1142e-01 -1.7161e+00 -2.7391e+00 -3.3202e+00 +2.1984e+00 +1.0356e+00 -2.3440e-01 +4.0339e+00 +2.9222e+00 +2.8825e-01 -3.5614e+00 +2.5092e+00 +6.3431e-01
5135 +2.691176883e+00 +2.691176883e+00 +8.217117688e+01 +8.217117688e+01 +1.3084e-01 -3.5858e-01 -7.0249e-01 +1.1963e+00 -2.7468e+00 +5.2866e-01 -1.4103e-01 -6.1580e-01 -2.1826e+00 -2.6316e+00 -4.0505e+00 +1.9645e+00 +7.3548e-01 +1.7210e-01 +3.6083e+00 +2.5903e+00 -9.8563e-02 -3.8321e+00 +2.5097e+00 +1.0235e+00
5167 +2.565163819e+00 +2.565163819e+00 +8.204516382e+01 +8.204516382e+01 +5.3769e-01 -3.8656e-01 -1.0536e+00 +1.8476e+00 -2.7645e+00 +2.5283e-01 +9.0410e-02 -6.3123e-01 -2.2882e+00 -2.9559e+00 -4.0019e+00 +1.7222e+00 +7.8645e-01 -1.6187e-01 +3.3674e+00 +3.0680e+00 -4.1731e-01 -4.0684e+00 +1.8702e+00 +1.5569e+00
5185 +2.262807696e+00 +2.262807696e+00 +8.174280770e+01 +8.174280770e+01 +6.6824e-02 -4.9303e-01 -1.2185e+00 +2.2287e+00 -2.5753e+00 +3.7163e-01 -4.4502e-01 +3.2292e-01 -1.5654e+00 -3.2905e+00 -4.1005e+00 +1.3486e+00 +6.7356e-01 -8.8731e-02 +3.3661e+00 +2.6698e+00 -6.1755e-01 -4.0138e+00 +2.2471e+00 +9.7338e-01
5534 +2.187501094e+00 +2.187501094e+00 +8.166750109e+01 +8.166750109e+01 +8.8015e-01 -9.3784e-01 -9.4234e-01 +1.9307e+00 -2.8486e+00 +3.0369e-01 -1.9256e-01 +1.4439e-01 -1.8774e+00 -3.7691e+00 -3.4788e+00 +2.2025e+00 +1.3370e+00 -5.6310e-01 +3.5611e+00 +3.2902e+00 -6.7677e-02 -3.4214e+00 +2.7589e+00 +1.1654e+00
5952 +2.128050095e+00 +2.128050095e+00 +8.160805010e+01 +8.160805010e+01 -2.6021e-01 -6.4247e-01 -8.8751e-01 +1.6053e+00 -2.9268e+00 +1.3485e-01 -5.1456e-01 +2.2695e-02 -1.4705e+00 -3.1031e+00 -3.2170e+00 +2.1097e+00 +1.5406e+00 -3.1489e-01 +4.1450e+00 +3.0016e+00 -9.4127e-02 -4.0649e+00 +2.5818e+00 +1.0088e+00
5953 +2.045597941e+00 +2.045597941e+00 +8.152559794e+01 +8.152559794e+01 -3.5886e-01 -7.0107e-01 -6.0574e-01 +1.6077e+00 -3.0572e+00 +2.4812e-01 -1.8548e-01 -5.4412e-01 -1.1564e+00 -3.2012e+00 -3.8164e+00 +1.5873e+00 +9.5755e-01 -4.7360e-01 +3.5459e+00 +2.7361e+00 -1.9905e-01 -4.0983e+00 +2.5529e+00 +1.4459e+00
5964 +1.996133678e+00 +1.996133678e+00 +8.147613368e+01 +8.147613368e+01 -1.6946e-01 -6.5817e-01 -2.2358e-01 +1.6816e+00 -3.1169e+00 +5.8715e-02 -5.1577e-02 +2.9009e-02 -1.6609e+00 -3.1076e+00 -3.6783e+00 +1.4025e+00 +1.1486e+00 -4.4480e-01 +3.3348e+00 +2.6232e+00 +7.2468e-02 -4.0031e+00 +2.7395e+00 +1.3098e+00
5979 +1.991773361e+00 +1.991773361e+00 +8.147177336e+01 +8.147177336e+01 +3.4647e-01 -6.1336e-01 -3.7444e-01 +1.9423e+00 -2.9732e+00 -1.7545e-02 +1.9064e-01 -1.4740e-01 -1.3461e+00 -2.9434e+00 -3.6303e+00 +1.6312e+00 +1.0202e+00 -7.1957e-01 +3.8116e+00 +2.8365e+00 -3.0513e-01 -4.1405e+00 +2.6434e+00 +8.9318e-01
6099 +1.083219234e+00 +1.083219234e+00 +8.056321923e+01 +8.056321923e+01 +5.7685e-01 -5.8537e-01 -6.5098e-01 +1.9047e+00 -2.4725e+00 +1.7920e-01 -1.3475e-01 +8.8271e-02 -1.5910e+00 -2.9221e+00 -3.4638e+00 +2.1855e+00 +9.0066e-01 -4.2825e-01 +3.7347e+00 +3.1806e+00 +6.8374e-02 -3.6946e+00 +2.4567e+00 +1.3796e+00
6237 +8.886725798e-01 +8.886725798e-01 +8.036867258e+01 +8.036867258e+01 +4.9453e-01 -8.7385e-01 -7.3985e-01 +1.8804e+00 -2.4411e+00 +3.5205e-02 -3.4687e-02 -3.5673e-02 -1.7420e+00 -2.9421e+00 -3.5791e+00 +2.0118e+00 +1.2742e+00 -5.0840e-01 +3.7277e+00 +3.2789e+00 -7.0695e-02 -3.7810e+00 +2.4915e+00 +1.3564e+00
6829 +7.954420871e-01 +7.954420871e-01 +8.027544209e+01 +8.027544209e+01 +5.4437e-01 -1.2467e+00 -9.3810e-01 +1.9479e+00 -3.0446e+00 +6.1486e-02 -8.1549e-02 +4.0049e-01 -1.7460e+00 -3.1294e+00 -3.9836e+00 +1.9630e+00 +1.2212e+00 -6.3304e-02 +3.4843e+00 +3.0202e+00 -8.9465e-04 -3.6386e+00 +2.6874e+00 +1.3240e+00
7005 +7.071152711e-01 +7.071152711e-01 +8.018711527e+01 +8.018711527e+01 +5.1194e-01 -1.1156e+00 -8.4073e-01 +1.9335e+00 -2.7185e+00 +3.2977e-01 +2.9834e-02 -1.0711e-01 -1.6540e+00 -3.5384e+00 -4.0366e+00 +2.2818e+00 +1.2412e+00 -2.0649e-01 +3.5928e+00 +2.6180e+00 -3.0498e-01 -3.9355e+00 +2.2760e+00 +1.1838e+00
7681 +3.729167222e-01 +3.729167222e-01 +7.985291672e+01 +7.985291672e+01 +3.0569e-01 -1.2388e+00 -5.3685e-01 +2.0210e+00 -2.6257e+00 +2.4260e-01 -2.6488e-01 +8.2754e-02 -1.8274e+00 -3.0462e+00 -3.7747e+00 +1.9465e+00 +9.0020e-01 +9.9699e-03 +3.5228e+00 +2.7953e+00 -1.5821e-01 -3.7987e+00 +2.3444e+00 +1.7002e+00
9133 +3.230302830e-01 +3.230302830e-01 +7.980303028e+01 +7.980303028e+01 +3.1806e-01 -1.0114e+00 -6.4815e-01 +1.9242e+00 -2.4786e+00 +3.5629e-01 +1.4419e-01 +7.4403e-02 -1.4973e+00 -2.7795e+00 -3.9861e+00 +2.0885e+00 +9.8532e-01 -1.6905e-01 +3.5665e+00 +2.8042e+00 -1.4084e-01 -4.0273e+00 +2.4761e+00 +1.3647e+00
9923 +2.948580990e-01 +2.948580990e-01 +7.977485810e+01 +7.977485810e+01 +4.7037e-01 -1.4177e+00 -7.0901e-01 +1.9604e+00 -2.7363e+00 +5.9440e-01 -3.1641e-01 +2.2490e-02 -1.7122e+00 -3.0942e+00 -3.7841e+00 +2.2244e+00 +1.2524e+00 +1.4515e-02 +3.7176e+00 +2.8997e+00 -1.0103e-01 -3.8980e+00 +2.4025e+00 +1.3629e+00
9994 +2.810647578e-01 +2.810647578e-01 +7.976106476e+01 +7.976106476e+01 +3.2052e-01 -1.2229e+00 -8.5856e-01 +1.9455e+00 -2.4877e+00 +6.0761e-01 -1.2855e-01 -1.1587e-01 -1.7057e+00 -3.0395e+00 -4.0044e+00 +1.9617e+00 +1.2597e+00 -6.6452e-02 +3.6412e+00 +3.0659e+00 -1.1053e-01 -3.8891e+00 +2.4994e+00 +1.1966e+00
10285 +2.555090158e-01 +2.555090158e-01 +7.973550902e+01 +7.973550902e+01 +2.7328e-01 -1.1313e+00 -6.9859e-01 +1.8770e+00 -2.8046e+00 +3.5340e-01 +2.4515e-01 +2.4628e-01 -1.7124e+00 -3.1142e+00 -3.7610e+00 +2.1079e+00 +1.1076e+00 -2.5435e-01 +3.6212e+00 +2.9925e+00 -1.8401e-01 -3.9804e+00 +2.3560e+00 +1.4701e+00
10303 +2.025439718e-01 +2.025439718e-01 +7.968254397e+01 +7.968254397e+01 +2.4258e-01 -1.1020e+00 -7.7305e-01 +1.9792e+00 -2.4966e+00 +2.8808e-01 +4.6134e-02 +2.4830e-01 -1.7386e+00 -2.9235e+00 -3.8568e+00 +2.1536e+00 +1.2527e+00 -1.9275e-01 +3.7130e+00 +2.9451e+00 -1.3419e-01 -3.9753e+00 +2.3808e+00 +1.3999e+00
10319 +1.878258489e-01 +1.878258489e-01 +7.966782585e+01 +7.966782585e+01 +2.5958e-01 -1.1049e+00 -7.6390e-01 +1.9659e+00 -2.5012e+00 +2.4921e-01 -1.3079e-01 +3.3764e-02 -1.6757e+00 -2.9987e+00 -3.8936e+00 +2.2248e+00 +1.0787e+00 -2.0267e-01 +3.6911e+00 +2.9492e+00 -1.3485e-01 -3.9382e+00 +2.2093e+00 +1.4841e+00
10933 +1.852969491e-01 +1.852969491e-01 +7.966529695e+01 +7.966529695e+01 +1.2730e-01 -1.0398e+00 -8.4976e-01 +1.7771e+00 -2.7446e+00 +4.2419e-01 -2.5484e-02 +1.7364e-02 -1.6702e+00 -2.9108e+00 -3.9875e+00 +2.0631e+00 +1.1323e+00 -6.8211e-03 +3.7334e+00 +2.7637e+00 -1.2367e-01 -4.0449e+00 +2.3517e+00 +1.4128e+00
11095 +1.565590671e-01 +1.565590671e-01 +7.963655907e+01 +7.963655907e+01 +4.0241e-01 -9.9592e-01 -7.9578e-01 +1.7896e+00 -2.6416e+00 +4.4774e-01 -1.3649e-01 +2.3623e-01 -1.6669e+00 -3.1667e+00 -3.6926e+00 +2.0305e+00 +1.1399e+00 +1.4439e-02 +3.5802e+00 +2.8601e+00 -9.8291e-02 -3.8519e+00 +2.3412e+00 +1.3164e+00
11164 +1.426699718e-01 +1.426699718e-01 +7.962266997e+01 +7.962266997e+01 +1.5973e-01 -1.0590e+00 -6.4455e-01 +1.9717e+00 -2.7447e+00 +3.6168e-01 +5.1551e-03 +1.7796e-02 -1.6665e+00 -2.8860e+00 -3.7295e+00 +1.8990e+00 +1.1419e+00 +2.0746e-02 +3.6757e+00 +2.9290e+00 -1.8150e-01 -3.9876e+00 +2.3593e+00 +1.3282e+00
11578 +1.366345763e-01 +1.366345763e-01 +7.961663458e+01 +7.961663458e+01 +1.2529e-01 -1.0549e+00 -7.1308e-01 +1.9370e+00 -2.6436e+00 +2.7645e-01 -3.5151e-02 +5.2088e-02 -1.8150e+00 -2.9543e+00 -3.8785e+00 +1.9755e+00 +1.1477e+00 -6.7902e-02 +3.7242e+00 +2.9968e+00 -1.7943e-01 -3.9919e+00 +2.4125e+00 +1.3468e+00
11587 +1.261289447e-01 +1.261289447e-01 +7.960612894e+01 +7.960612894e+01 +3.0850e-01 -1.1287e+00 -7.4342e-01 +1.8347e+00 -2.7333e+00 +3.6288e-01 +7.0991e-02 +4.1734e-02 -1.7446e+00 -2.9294e+00 -3.8043e+00 +1.9786e+00 +1.1877e+00 -8.5688e-02 +3.6496e+00 +3.0165e+00 -1.5220e-01 -3.9667e+00 +2.4572e+00 +1.3425e+00
11595 +1.152456897e-01 +1.152456897e-01 +7.959524569e+01 +7.959524569e+01 +2.1684e-01 -1.1484e+00 -7.7306e-01 +1.9533e+00 -2.7632e+00 +3.4280e-01 -9.3349e-02 +7.8494e-02 -1.7263e+00 -2.9232e+00 -3.8059e+00 +1.9010e+00 +1.1696e+00 -1.1073e-01 +3.6817e+00 +3.0468e+00 -1.6656e-01 -3.9197e+00 +2.5138e+00 +1.3459e+00
12183 +1.033483302e-01 +1.033483302e-01 +7.958334833e+01 +7.958334833e+01 +2.7404e-01 -1.0503e+00 -8.2171e-01 +1.9473e+00 -2.7150e+00 +4.4680e-01 -8.7760e-02 +1.2364e-01 -1.8739e+00 -3.0756e+00 -3.9277e+00 +1.9783e+00 +1.0571e+00 -1.9352e-01 +3.6996e+00 +2.9152e+00 -1.2607e-01 -3.9518e+00 +2.3518e+00 +1.3767e+00
12197 +8.048289205e-02 +8.048289205e-02 +7.956048289e+01 +7.956048289e+01 +3.5504e-01 -1.0734e+00 -8.2052e-01 +1.8706e+00 -2.6747e+00 +5.0044e-01 -1.4316e-01 +4.7698e-02 -1.6839e+00 -3.0313e+00 -3.8932e+00 +1.9045e+00 +1.1498e+00 -1.8551e-01 +3.6536e+00 +2.8548e+00 -1.9350e-01 -3.9097e+00 +2.3850e+00 +1.4036e+00
13000 +7.145103908e-02 +7.145103908e-02 +7.955145104e+01 +7.955145104e+01 +2.1074e-01 -1.1953e+00 -7.4806e-01 +1.9631e+00 -2.7621e+00 +4.7677e-01 -1.0200e-01 +7.1972e-02 -1.6452e+00 -3.1862e+00 -3.8049e+00 +2.0578e+00 +1.0050e+00 -1.1908e-01 +3.7122e+00 +2.9640e+00 -2.2399e-01 -3.9159e+00 +2.3631e+00 +1.4499e+00
13010 +7.013411642e-02 +7.013411642e-02 +7.955013412e+01 +7.955013412e+01 +1.9666e-01 -1.2306e+00 -7.1131e-01 +1.9505e+00 -2.8368e+00 +4.1923e-01 -1.0812e-01 +1.4587e-01 -1.5966e+00 -3.1244e+00 -3.8511e+00 +2.0069e+00 +1.0711e+00 -1.0377e-01 +3.7116e+00 +2.9810e+00 -2.3226e-01 -3.9126e+00 +2.3811e+00 +1.4368e+00
13011 +6.702542303e-02 +6.702542303e-02 +7.954702542e+01 +7.954702542e+01 +1.9553e-01 -1.2791e+00 -7.2258e-01 +1.9870e+00 -2.6669e+00 +4.9203e-01 -1.9315e-01 +1.4255e-01 -1.6875e+00 -3.1354e+00 -3.8498e+00 +1.9424e+00 +1.0667e+00 -1.4874e-01 +3.6765e+00 +3.0181e+00 -1.3471e-01 -3.8713e+00 +2.3611e+00 +1.3782e+00
13018 +4.461375878e-02 +4.461375878e-02 +7.952461376e+01 +7.952461376e+01 +2.6288e-01 -1.1780e+00 -6.3343e-01 +1.9640e+00 -2.6944e+00 +4.6012e-01 -8.4703e-02 +1.4953e-01 -1.6100e+00 -3.1335e+00 -3.8504e+00 +2.0544e+00 +1.0780e+00 -1.4312e-01 +3.6186e+00 +2.9846e+00 -1.5032e-01 -3.8177e+00 +2.3638e+00 +1.3734e+00
13962 +3.742939713e-02 +3.742939713e-02 +7.951742940e+01 +7.951742940e+01 +2.5525e-01 -1.1131e+00 -7.2805e-01 +1.8691e+00 -2.6630e+00 +5.1013e-01 -9.0676e-02 +1.4703e-01 -1.6394e+00 -2.9960e+00 -3.7935e+00 +2.0562e+00 +1.0200e+00 -6.2882e-02 +3.7044e+00 +2.9246e+00 -1.2805e-01 -3.9470e+00 +2.3783e+00 +1.4482e+00
14051 +3.637642324e-02 +3.637642324e-02 +7.951637642e+01 +7.951637642e+01 +2.0192e-01 -1.1456e+00 -7.2551e-01 +1.8874e+00 -2.6597e+00 +4.7303e-01 -9.1984e-02 +1.1137e-01 -1.6392e+00 -3.1059e+00 -3.8684e+00 +2.0374e+00 +1.0733e+00 -1.2960e-01 +3.7175e+00 +2.9554e+00 -1.4470e-01 -3.9012e+00 +2.2593e+00 +1.4311e+00
14572 +3.587607673e-02 +3.587607673e-02 +7.951587608e+01 +7.951587608e+01 +2.5045e-01 -1.1424e+00 -6.6852e-01 +1.8802e+00 -2.6953e+00 +5.0490e-01 -9.8800e-02 +8.1255e-02 -1.6925e+00 -3.0648e+00 -3.9150e+00 +2.0932e+00 +1.0821e+00 -9.0565e-02 +3.7313e+00 +2.9287e+00 -1.4534e-01 -3.8968e+00 +2.3515e+00 +1.4048e+00
14678 +3.383699920e-02 +3.383699920e-02 +7.951383700e+01 +7.951383700e+01 +2.4041e-01 -1.1614e+00 -7.2892e-01 +1.9086e+00 -2.5533e+00 +4.3041e-01 -9.9662e-02 +8.7881e-02 -1.6734e+00 -3.0842e+00 -3.8325e+00 +2.0080e+00 +1.0786e+00 -3.8506e-02 +3.6058e+00 +2.9382e+00 -9.9932e-02 -3.8615e+00 +2.3724e+00 +1.4105e+00
15019 +3.234864389e-02 +3.234864389e-02 +7.951234864e+01 +7.951234864e+01 +3.2894e-01 -1.2508e+00 -7.0057e-01 +1.9480e+00 -2.6567e+00 +3.9858e-01 -1.5521e-01 +1.2199e-01 -1.6853e+00 -3.0961e+00 -3.8915e+00 +2.0133e+00 +1.0535e+00 -7.5851e-02 +3.6945e+00 +2.9139e+00 -6.5382e-02 -3.9201e+00 +2.3483e+00 +1.3618e+00
15227 +2.325306661e-02 +2.325306661e-02 +7.950325307e+01 +7.950325307e+01 +3.1173e-01 -1.1698e+00 -7.6894e-01 +1.9037e+00 -2.6764e+00 +4.2286e-01 -1.1935e-01 +1.2113e-01 -1.6731e+00 -3.0151e+00 -3.8721e+00 +1.9362e+00 +1.1392e+00 -8.7153e-02 +3.6971e+00 +2.8658e+00 -1.1423e-01 -3.9125e+00 +2.3589e+00 +1.3635e+00
