% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
13770 +6.301309839e+01 +6.301309839e+01 +9.298309839e+01 +9.298309839e+01 +8.3256e-01 -1.7305e+00 -3.5192e+00 -1.8552e+00 +3.1288e+00 +3.3052e+00 -4.0741e+00 -2.9156e+00 +8.5581e-01 -1.7181e+00 +1.3437e+00 -1.6372e+00 +4.1258e+00 +2.2575e+00 -1.5548e+00 +2.7357e+00 -2.6774e+00 -1.0222e+00 +1.6348e+00 -3.4617e+00
13788 +5.899188089e+01 +5.899188089e+01 +8.896188089e+01 +8.896188089e+01 +8.1922e-01 -1.7359e+00 -3.5481e+00 -1.8457e+00 +3.0544e+00 +3.2477e+00 -3.9385e+00 -2.9445e+00 +9.2300e-01 -1.7465e+00 +1.5255e+00 -1.7332e+00 +4.0848e+00 +2.3506e+00 -1.5716e+00 +2.7136e+00 -2.6351e+00 -9.7589e-01 +1.5977e+00 -3.3338e+00
13792 +5.821311494e+01 +5.821311494e+01 +8.818311494e+01 +8.818311494e+01 +8.6803e-01 -1.6881e+00 -3.6205e+00 -1.8487e+00 +3.0409e+00 +3.1585e+00 -3.9579e+00 -2.9161e+00 +9.4672e-01 -1.6945e+00 +1.3785e+00 -1.7017e+00 +4.1235e+00 +2.3416e+00 -1.5829e+00 +2.6874e+00 -2.6646e+00 -7.9891e-01 +1.5265e+00 -3.2621e+00
13910 +5.271545705e+01 +5.271545705e+01 +8.268545705e+01 +8.268545705e+01 +8.0173e-01 -1.6761e+00 -3.5902e+00 -1.8775e+00 +3.2036e+00 +3.3771e+00 -4.0200e+00 -2.8938e+00 +9.7026e-01 -1.7688e+00 +1.2038e+00 -1.7464e+00 +4.1424e+00 +2.4583e+00 -1.5360e+00 +2.6790e+00 -2.4523e+00 -1.0392e+00 +1.5426e+00 -3.2778e+00
14075 +5.000184527e+01 +5.000184527e+01 +7.997184527e+01 +7.997184527e+01 +7.6829e-01 -1.7329e+00 -3.7462e+00 -1.8848e+00 +3.1809e+00 +3.2790e+00 -3.9167e+00 -2.8974e+00 +8.9907e-01 -1.7716e+00 +1.2572e+00 -1.6180e+00 +3.9469e+00 +2.4032e+00 -1.4813e+00 +2.7670e+00 -2.6405e+00 -8.8594e-01 +1.4897e+00 -3.4611e+00
14652 +4.869432274e+01 +4.869432274e+01 +7.866432274e+01 +7.866432274e+01 +8.5482e-01 -1.8092e+00 -3.5515e+00 -1.9351e+00 +3.1404e+00 +3.3568e+00 -3.8912e+00 -2.9297e+00 +1.0210e+00 -1.7526e+00 +1.2770e+00 -1.7603e+00 +4.0544e+00 +2.4098e+00 -1.5374e+00 +2.8145e+00 -2.5274e+00 -1.0573e+00 +1.4220e+00 -3.2401e+00
14664 +4.684392903e+01 +4.684392903e+01 +7.681392903e+01 +7.681392903e+01 +8.8761e-01 -1.8287e+00 -3.5684e+00 -1.9166e+00 +3.0755e+00 +3.3795e+00 -3.9204e+00 -2.9469e+00 +9.5829e-01 -1.8357e+00 +1.3641e+00 -1.7726e+00 +4.0739e+00 +2.4309e+00 -1.5651e+00 +2.7618e+00 -2.5257e+00 -1.1387e+00 +1.4543e+00 -3.2427e+00
14693 +4.077065852e+01 +4.077065852e+01 +7.074065852e+01 +7.074065852e+01 +7.6982e-01 -1.7456e+00 -3.6111e+00 -1.9285e+00 +3.0782e+00 +3.4628e+00 -3.8475e+00 -2.9128e+00 +1.0193e+00 -1.7983e+00 +1.3101e+00 -1.8434e+00 +4.1153e+00 +2.3992e+00 -1.6099e+00 +2.7266e+00 -2.4987e+00 -1.1066e+00 +1.4694e+00 -3.3019e+00
14765 +4.071370016e+01 +4.071370016e+01 +7.068370016e+01 +7.068370016e+01 +7.9682e-01 -1.7879e+00 -3.6544e+00 -2.0024e+00 +3.1019e+00 +3.4207e+00 -3.7941e+00 -2.8274e+00 +1.0260e+00 -1.7380e+00 +1.3275e+00 -1.7390e+00 +4.1866e+00 +2.3654e+00 -1.5622e+00 +2.6449e+00 -2.5063e+00 -1.0524e+00 +1.4938e+00 -3.2840e+00
14768 +3.480850416e+01 +3.480850416e+01 +6.477850416e+01 +6.477850416e+01 +7.2385e-01 -1.7631e+00 -3.7193e+00 -1.9291e+00 +3.1732e+00 +3.4208e+00 -3.8524e+00 -2.7811e+00 +9.5690e-01 -1.6966e+00 +1.4234e+00 -1.7995e+00 +4.1713e+00 +2.4158e+00 -1.5556e+00 +2.5879e+00 -2.4547e+00 -1.0783e+00 +1.4880e+00 -3.2833e+00
