% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
55 +6.287466845e+02 +6.287466845e+02 +7.216866845e+02 +7.216866845e+02 +7.9986e-01 -2.7176e+00 -2.1831e+00 +1.1630e+00 +3.0622e+00 +3.3755e+00 +7.6653e-01 +1.3809e+00 -1.9899e+00 +9.7789e-01 +2.6108e+00 -3.1254e-01 +5.5371e-01 +4.1102e+00 -2.7548e+00 +3.4549e+00 +5.2759e+00 -4.0237e+00 -3.5646e+00 -2.6357e+00
68 +5.828748273e+02 +5.828748273e+02 +6.758148273e+02 +6.758148273e+02 +6.8680e-01 -3.5767e+00 -2.4835e+00 +2.1960e+00 +2.0736e+00 +2.5067e+00 +1.9045e+00 +2.0671e+00 -1.7757e+00 +7.4297e-01 +1.8749e+00 -1.1007e+00 -7.7800e-01 +5.2655e+00 -2.8980e+00 +2.5191e+00 +7.0945e+00 -4.2332e+00 -2.8437e+00 -2.4892e+00
83 +5.312754355e+02 +5.312754355e+02 +6.242154355e+02 +6.242154355e+02 +1.5038e+00 -3.5653e+00 -1.0316e+00 +2.0259e+00 +4.9576e+00 +2.8542e+00 +1.6268e+00 +8.9422e-01 +4.6246e-01 +1.8617e+00 +2.5546e+00 -2.1655e+00 +8.3330e-01 +6.1187e+00 -2.6544e+00 +9.7741e-01 +7.1332e+00 -4.9946e+00 -5.3117e+00 -2.0175e+00
88 +4.546353147e+02 +4.546353147e+02 +5.475753147e+02 +5.475753147e+02 +1.5530e+00 -2.7988e+00 -3.4881e-01 +2.1258e+00 +3.4120e+00 +2.1593e+00 +2.2798e+00 +8.5374e-01 -2.4351e-02 +3.4754e+00 +2.4092e+00 -3.0628e+00 -6.6515e-01 +5.6159e+00 -4.9162e+00 +3.3544e+00 +8.3749e+00 -3.4827e+00 -3.0401e+00 -2.2281e-01
97 +3.460749303e+02 +3.460749303e+02 +4.390149303e+02 +4.390149303e+02 +1.4971e+00 -1.2285e+00 +5.1611e-01 +1.7414e+00 +3.1027e+00 +2.9765e+00 +5.4881e-01 +1.1080e+00 -4.2922e-01 +3.1688e+00 +2.3392e+00 -3.9224e+00 -1.7099e+00 +5.0284e+00 -4.7838e+00 +3.6037e+00 +6.7776e+00 -4.6594e+00 -3.4278e+00 -1.1061e-01
102 +3.176503176e+02 +3.176503176e+02 +4.105903176e+02 +4.105903176e+02 +1.0609e+00 -2.5871e+00 +1.6795e+00 +1.9784e+00 +1.9852e+00 +2.8664e+00 +1.6528e+00 +9.6328e-02 +1.6498e+00 +3.3742e+00 +2.7038e+00 -3.3460e+00 -2.1884e+00 +3.6723e+00 -4.2319e+00 +4.7298e+00 +7.1868e+00 -6.3334e+00 -2.4492e+00 +4.6731e-01
104 +2.429242176e+02 +2.429242176e+02 +3.358642176e+02 +3.358642176e+02 +9.9300e-01 -1.8786e+00 -6.0926e-01 +9.5856e-01 +1.0465e+00 +3.2005e+00 +2.0452e+00 -3.8401e-01 -8.7214e-01 +4.7583e+00 +1.8870e+00 -3.6563e+00 -1.4025e+00 +3.7289e+00 -3.6571e+00 +2.6935e+00 +7.7097e+00 -4.5496e+00 -5.7840e+00 -8.2521e-01
118 +2.331022015e+02 +2.331022015e+02 +3.260422015e+02 +3.260422015e+02 +4.3574e-01 -3.9101e-01 -4.3380e-01 +2.7426e+00 +1.1215e+00 +4.1766e+00 +9.4531e-01 -2.1359e+00 +2.3476e-02 +3.7922e+00 +1.3337e+00 -4.2883e+00 -2.2891e+00 +2.5565e+00 -3.9413e+00 +3.3765e+00 +8.4187e+00 -3.9532e+00 -6.8592e+00 -6.2140e-03
136 +2.079931102e+02 +2.079931102e+02 +3.009331102e+02 +3.009331102e+02 -3.0297e-01 -9.3633e-01 -5.6073e-02 +2.6017e+00 +1.3083e+00 +4.8038e+00 +1.4114e+00 -4.7515e+00 -1.8934e+00 +2.3071e+00 +2.5806e+00 -3.0895e+00 -4.4245e+00 +1.1016e+00 -1.4021e+00 +3.4985e+00 +8.2826e+00 -5.5332e+00 -3.4793e+00 -8.4576e-01
188 +1.814195182e+02 +1.814195182e+02 +2.743595182e+02 +2.743595182e+02 -4.8319e-01 +1.2976e+00 +1.0680e+00 +3.1643e+00 -7.8429e-02 +5.6882e+00 +4.8059e-01 -1.4580e+00 -1.9275e+00 +2.9393e+00 +3.5647e+00 -4.1966e+00 -3.1448e+00 +1.9689e+00 -4.0546e+00 +4.4271e+00 +6.2997e+00 -3.0756e+00 -2.8601e+00 -1.5999e+00
240 +1.500473211e+02 +1.500473211e+02 +2.429873211e+02 +2.429873211e+02 +2.0621e+00 +1.4343e-01 +2.8238e-01 +3.5071e+00 +2.1466e+00 +5.5515e+00 +6.2138e-02 +9.6618e-01 -1.8306e+00 +5.3321e+00 +2.4955e+00 -1.8919e+00 -3.4584e+00 +3.1781e+00 -2.3555e+00 +2.3300e+00 +5.8547e+00 -5.5170e+00 -3.0382e+00 -1.1960e+00
504 +1.365645534e+02 +1.365645534e+02 +2.295045534e+02 +2.295045534e+02 -2.1509e+00 +1.1484e+00 +2.8739e+00 +3.7313e+00 +3.4496e+00 +6.2140e+00 +3.5560e+00 +1.0988e+00 -1.7813e+00 +1.7358e+00 -1.8170e+00 -2.7362e+00 +1.0690e+00 +3.0886e+00 -3.5864e+00 +3.8874e+00 +4.1933e+00 -3.1257e+00 -9.3543e-01 -1.2327e+00
840 +1.261733592e+02 +1.261733592e+02 +2.191133592e+02 +2.191133592e+02 -1.1871e-01 +5.0223e+00 +1.3605e+00 +2.9500e+00 +4.0270e-01 +6.2877e+00 +5.8876e+00 +9.7411e-01 -4.2648e+00 +4.6584e+00 -2.1320e+00 -5.3011e+00 +1.2437e+00 +3.4192e+00 -9.6858e-01 +2.1827e+00 +4.9166e+00 -3.8982e+00 -3.5404e+00 -1.6453e+00
1421 +1.092798868e+02 +1.092798868e+02 +2.022198868e+02 +2.022198868e+02 +1.4929e-01 -1.0094e-01 -1.9607e+00 +2.7649e+00 +2.9580e+00 +2.9556e+00 +2.1326e+00 -6.6156e+00 -7.3839e-01 +3.0898e+00 +3.7560e+00 -6.0964e+00 -2.2440e+00 +3.2253e+00 -1.1730e-02 +3.2586e+00 +5.2329e+00 -3.0348e+00 -2.2148e+00 +1.0813e-01
1560 +1.047345937e+02 +1.047345937e+02 +1.976745937e+02 +1.976745937e+02 -9.6855e-01 +5.8221e-01 -1.3413e+00 +3.9638e+00 +2.4000e+00 +3.6127e+00 +4.2896e+00 -3.1866e+00 +5.4479e-01 +2.1954e+00 -1.1970e+00 -1.2520e+00 -2.1370e+00 +2.6141e+00 -1.9548e-02 +1.8280e+00 +5.4556e+00 -4.0244e+00 -1.6293e+00 +1.0499e+00
1907 +9.320799481e+01 +9.320799481e+01 +1.861479948e+02 +1.861479948e+02 -8.3657e-01 +1.0695e+00 +4.5485e-01 +3.3497e+00 -2.3183e-01 +4.2267e+00 +2.7869e+00 -3.6812e+00 +6.8872e-01 +2.5862e+00 -6.3712e-01 -3.2556e+00 -5.7341e-01 +3.0187e+00 -4.7580e-01 +3.4140e+00 +6.5168e+00 -2.8899e+00 +8.2641e-02 -6.3872e-02
2054 +7.783395584e+01 +7.783395584e+01 +1.707739558e+02 +1.707739558e+02 +1.1388e+00 +2.6743e+00 +7.1331e-01 +2.9676e+00 +1.6361e+00 +4.3168e+00 +3.3515e+00 -3.2227e+00 -1.2943e+00 +3.1836e+00 -4.4459e-01 -4.0816e+00 -6.5918e-01 +1.2668e+00 +7.9070e-01 +1.2678e+00 +5.1232e+00 -2.7907e+00 +2.5005e+00 -1.0102e-01
2137 +7.750880531e+01 +7.750880531e+01 +1.704488053e+02 +1.704488053e+02 +1.9486e+00 -5.7995e-01 -4.6795e-01 +2.2117e+00 +1.8302e+00 +4.5685e+00 +1.6682e+00 -3.7188e+00 +7.7215e-01 +3.5715e+00 +7.1087e-01 -5.0914e+00 -1.0931e+00 +2.0936e+00 +1.9993e+00 +2.1338e+00 +3.8387e+00 -3.6664e+00 -1.0711e+00 +6.2634e-01
2167 +6.872353665e+01 +6.872353665e+01 +1.616635367e+02 +1.616635367e+02 +1.4149e+00 +9.3420e-01 -6.2750e-01 +1.3580e+00 +1.7498e+00 +4.6209e+00 +2.3318e+00 -2.3465e+00 +2.7090e+00 +4.1148e+00 +2.5349e-01 -3.7951e+00 -1.3599e+00 +1.9932e+00 +1.6656e+00 +1.5609e+00 +4.0686e+00 -4.6020e+00 -3.2371e+00 +1.5835e-01
2175 +5.298775473e+01 +5.298775473e+01 +1.459277547e+02 +1.459277547e+02 +7.1139e-01 +1.3030e+00 -1.0119e+00 +1.6894e+00 +1.4339e+00 +4.3575e+00 +1.8295e+00 -3.0216e+00 +1.3739e+00 +3.3880e+00 -1.0995e-01 -3.9313e+00 -1.7634e+00 +1.3229e+00 +1.3246e+00 +1.4128e+00 +4.2241e+00 -3.9885e+00 -2.6372e+00 -7.2270e-01
2318 +5.010950607e+01 +5.010950607e+01 +1.430495061e+02 +1.430495061e+02 -4.0899e-01 -2.9025e-02 -3.3368e-01 +5.0921e+00 +2.5844e+00 +4.6492e+00 +4.7722e+00 -4.6909e+00 +2.3939e+00 +2.0069e+00 -2.8352e-01 -2.6564e+00 -2.4246e-01 +1.0245e+00 +1.0737e+00 +2.2639e+00 +4.0019e+00 -3.1685e+00 +2.6778e-02 +1.9409e+00
2325 +4.792005067e+01 +4.792005067e+01 +1.408600507e+02 +1.408600507e+02 -9.5590e-01 -9.4140e-01 -5.3715e-01 +3.4270e+00 +3.1083e+00 +4.9243e+00 +5.4093e+00 -3.9420e+00 +2.9818e+00 +1.4578e+00 +3.6898e-01 -2.4746e+00 -1.0223e+00 +2.4025e+00 +1.3974e+00 +9.2892e-01 +3.5106e+00 -2.9730e+00 +1.0364e+00 +1.4803e+00
2555 +4.723402449e+01 +4.723402449e+01 +1.401740245e+02 +1.401740245e+02 -9.4858e-01 +1.0072e+00 -1.9919e-01 +2.1394e+00 +2.7505e+00 +4.1648e+00 +3.5389e+00 -5.1400e-01 +1.4379e+00 +2.6652e+00 -1.1860e+00 -3.4016e+00 -4.2614e-01 +1.4286e+00 -8.9828e-02 +1.0366e+00 +4.2982e+00 -2.3445e+00 -2.1271e-01 +6.2676e-02
2606 +3.805282653e+01 +3.805282653e+01 +1.309928265e+02 +1.309928265e+02 -1.7095e+00 +1.2244e+00 -1.5746e-01 +2.1085e+00 +2.4247e+00 +4.9004e+00 +2.3920e+00 -3.3189e+00 +2.0372e+00 +2.3829e+00 -1.3259e+00 -2.7483e+00 -6.3884e-02 +2.2588e+00 +1.2809e-01 +1.3467e+00 +4.5734e+00 -2.7902e+00 -1.3933e+00 -3.7255e-01
2615 +3.240348584e+01 +3.240348584e+01 +1.253434858e+02 +1.253434858e+02 -1.6574e+00 +1.1645e+00 +3.1066e-01 +2.4311e+00 +2.6362e+00 +4.6254e+00 +2.8828e+00 -2.6593e+00 +2.0683e+00 +2.5036e+00 -1.6167e+00 -2.4619e+00 -7.6555e-01 +2.3267e+00 -4.2505e-01 +1.6027e+00 +4.8448e+00 -3.2797e+00 -5.1042e-01 -5.3511e-01
3403 +2.551187364e+01 +2.551187364e+01 +1.184518736e+02 +1.184518736e+02 +2.6556e-01 +6.2727e-01 -6.9728e-01 +3.1127e+00 +1.6270e+00 +5.3699e+00 +1.8821e+00 -2.2119e+00 +2.3261e+00 +2.4401e+00 -6.9490e-01 -1.1341e+00 -2.5473e+00 +1.7872e+00 +1.2684e+00 -2.1482e-01 +5.3216e+00 -3.5837e+00 -2.8891e-01 +1.2231e+00
5189 +2.436903587e+01 +2.436903587e+01 +1.173090359e+02 +1.173090359e+02 +5.0041e-01 +2.5665e+00 -9.0750e-02 +2.8880e+00 +7.4622e-01 +4.0904e+00 +3.6236e+00 -1.9134e+00 +1.9751e+00 +2.7410e+00 +9.1753e-01 -2.4451e+00 -1.8195e+00 -3.5746e-01 +1.4223e+00 +2.4419e-01 +5.0799e+00 -4.1533e+00 +3.1352e-01 -1.9368e+00
5407 +2.002649621e+01 +2.002649621e+01 +1.129664962e+02 +1.129664962e+02 +8.2874e-01 +2.7766e+00 +8.3673e-01 +1.4278e+00 +1.4201e+00 +4.1886e+00 +1.7148e+00 -1.2852e+00 +1.2833e+00 +3.2230e+00 +1.0017e+00 -4.2358e+00 -2.3602e+00 +4.0046e-01 +9.0423e-01 +1.4638e+00 +4.3690e+00 -3.1283e+00 +3.0543e-01 -8.0212e-01
5548 +1.898920628e+01 +1.898920628e+01 +1.119292063e+02 +1.119292063e+02 -2.9235e-01 +2.5602e+00 +4.0630e-01 +2.4527e+00 +8.4991e-01 +3.8480e+00 +2.6577e+00 -1.3011e+00 +2.0804e+00 +2.5540e+00 +1.4713e+00 -3.4949e+00 -1.2471e+00 -7.0581e-01 +8.2388e-01 +1.5916e+00 +4.9253e+00 -3.7169e+00 +1.3072e+00 -7.9761e-01
5580 +1.721183715e+01 +1.721183715e+01 +1.101518372e+02 +1.101518372e+02 +1.5190e-01 +2.9382e+00 +6.3699e-01 +2.8211e+00 +1.1507e+00 +3.7833e+00 +3.0153e+00 -1.7778e+00 +2.2139e+00 +2.1304e+00 +1.5855e+00 -3.9862e+00 -1.8646e+00 -6.1321e-01 +5.8468e-01 +2.0567e+00 +4.8995e+00 -3.7422e+00 +1.1675e+00 -6.8562e-01
6551 +1.550103234e+01 +1.550103234e+01 +1.084410323e+02 +1.084410323e+02 +1.3890e+00 +2.0298e+00 +1.3539e-01 +3.1285e+00 +1.9949e+00 +4.5134e+00 +2.6779e+00 -2.5532e+00 +1.1653e+00 +2.9205e+00 +2.3986e+00 -3.0622e+00 -2.7314e+00 +7.5278e-01 +5.1523e-01 +2.8660e+00 +5.1138e+00 -4.4245e+00 +4.6429e-01 -2.6534e-01
6830 +1.272413749e+01 +1.272413749e+01 +1.056641375e+02 +1.056641375e+02 -2.3159e-01 +1.0377e+00 +1.1473e+00 +3.8489e+00 +2.2067e+00 +4.6757e+00 +2.7957e+00 -2.4130e+00 +2.1347e+00 +2.2967e+00 -3.6380e-01 -2.3554e+00 -6.7454e-01 +1.4907e+00 +7.4226e-01 +2.6829e+00 +4.6739e+00 -3.7699e+00 +8.2706e-01 -6.4694e-01
7255 +1.007925921e+01 +1.007925921e+01 +1.030192592e+02 +1.030192592e+02 -4.3955e-01 +4.2909e-01 +1.0987e-01 +3.2031e+00 +2.3703e+00 +4.4036e+00 +1.5710e+00 -3.2528e+00 +1.8393e+00 +2.6145e+00 +1.2678e+00 -2.9029e+00 -1.9107e+00 +1.1500e+00 +9.0111e-01 +2.1102e+00 +4.8961e+00 -3.4595e+00 +1.7310e+00 -3.5000e-01
7441 +9.607634907e+00 +9.607634907e+00 +1.025476349e+02 +1.025476349e+02 +1.4962e-01 +7.7282e-01 +6.8053e-02 +2.9861e+00 +1.7831e+00 +4.1054e+00 +2.9098e+00 -3.0717e+00 +1.8575e+00 +2.1686e+00 +2.3434e+00 -2.9827e+00 -2.2861e+00 +1.0696e+00 +5.8002e-01 +2.6630e+00 +4.7952e+00 -3.7420e+00 +4.3002e-01 -4.5652e-01
8433 +9.088553471e+00 +9.088553471e+00 +1.020285535e+02 +1.020285535e+02 -5.2823e-01 +6.7208e-01 +3.8235e-02 +3.1819e+00 +1.7804e+00 +3.6268e+00 +2.7816e+00 -2.6344e+00 +2.4322e+00 +2.5392e+00 +1.0119e+00 -3.0800e+00 -1.1317e+00 +1.0626e+00 +5.5925e-01 +2.1113e+00 +5.0075e+00 -3.4711e+00 +5.7249e-01 -5.5239e-01
8490 +7.167434291e+00 +7.167434291e+00 +1.001074343e+02 +1.001074343e+02 -4.1565e-01 +1.2460e+00 +1.3192e-01 +3.2771e+00 +2.0676e+00 +4.0559e+00 +2.6253e+00 -2.7528e+00 +2.7698e+00 +2.3197e+00 +1.5454e+00 -3.6050e+00 -1.6524e+00 +9.9181e-01 +5.8929e-01 +2.2737e+00 +4.4408e+00 -3.7701e+00 +1.0832e+00 +2.8617e-01
10410 +7.041471125e+00 +7.041471125e+00 +9.998147112e+01 +9.998147112e+01 -9.6457e-02 +1.9079e-01 +6.6244e-02 +3.6770e+00 +2.1717e+00 +4.0005e+00 +2.0083e+00 -2.6320e+00 +2.7143e+00 +2.3645e+00 +1.2541e+00 -2.7523e+00 -1.3839e+00 +1.4712e+00 +5.3196e-01 +2.4703e+00 +4.8366e+00 -3.3458e+00 +1.3988e+00 +2.2632e-02
10426 +6.848003533e+00 +6.848003533e+00 +9.978800353e+01 +9.978800353e+01 -8.0653e-02 +3.5062e-01 +1.7426e-01 +3.6655e+00 +2.3719e+00 +4.0138e+00 +2.0101e+00 -2.8157e+00 +2.3148e+00 +2.5836e+00 +1.3814e+00 -2.7932e+00 -1.6359e+00 +1.4071e+00 +6.3577e-01 +2.6720e+00 +4.9619e+00 -3.2777e+00 +1.3214e+00 -1.7705e-01
10456 +6.317724543e+00 +6.317724543e+00 +9.925772454e+01 +9.925772454e+01 -3.7482e-01 +8.1004e-01 +4.5713e-02 +3.2252e+00 +2.0451e+00 +4.2021e+00 +1.4609e+00 -2.3951e+00 +2.6821e+00 +2.6919e+00 +1.2359e+00 -3.1329e+00 -1.7130e+00 +1.5447e+00 +4.2902e-01 +2.8081e+00 +4.8609e+00 -3.2162e+00 +2.0552e+00 +1.1051e-01
12159 +6.206368045e+00 +6.206368045e+00 +9.914636804e+01 +9.914636804e+01 +1.2681e-01 +4.3391e-01 -1.7060e-01 +3.1687e+00 +2.2796e+00 +3.9053e+00 +2.1185e+00 -3.2631e+00 +3.4900e+00 +2.5326e+00 +1.3424e+00 -3.4261e+00 -1.4886e+00 +1.2517e+00 +1.2225e+00 +2.7720e+00 +4.4367e+00 -3.6221e+00 +1.4981e+00 +7.8145e-01
12165 +4.790128116e+00 +4.790128116e+00 +9.773012812e+01 +9.773012812e+01 -2.5924e-02 +5.2013e-01 -1.7604e-01 +3.1381e+00 +2.3024e+00 +3.8854e+00 +2.1674e+00 -3.3248e+00 +3.3362e+00 +2.5405e+00 +1.2327e+00 -3.4776e+00 -1.3372e+00 +1.2600e+00 +1.2645e+00 +2.7164e+00 +4.5871e+00 -3.6127e+00 +1.7942e+00 +7.9910e-01
12340 +4.769945326e+00 +4.769945326e+00 +9.770994533e+01 +9.770994533e+01 -3.1409e-02 -2.6365e-02 -6.1655e-01 +3.2288e+00 +2.5512e+00 +3.9459e+00 +2.2508e+00 -2.9474e+00 +3.1906e+00 +1.7208e+00 +1.6883e+00 -2.9050e+00 -1.4283e+00 +1.3843e+00 +1.0551e+00 +2.9273e+00 +4.4830e+00 -3.3691e+00 +1.5179e+00 +7.9716e-01
12398 +4.540001591e+00 +4.540001591e+00 +9.748000159e+01 +9.748000159e+01 -4.2666e-01 +5.5559e-02 -3.2827e-01 +3.2850e+00 +2.4562e+00 +3.7575e+00 +2.1675e+00 -2.9872e+00 +3.1560e+00 +2.1927e+00 +1.8078e+00 -3.6251e+00 -1.4605e+00 +1.0373e+00 +5.8205e-01 +3.0267e+00 +4.1663e+00 -3.0690e+00 +1.2821e+00 +8.2828e-01
12420 +4.109654148e+00 +4.109654148e+00 +9.704965415e+01 +9.704965415e+01 -4.6175e-01 -7.3178e-03 -4.6765e-01 +3.3540e+00 +2.5438e+00 +3.9433e+00 +1.9688e+00 -2.6319e+00 +3.2392e+00 +2.2766e+00 +1.7497e+00 -3.4932e+00 -1.7298e+00 +1.2844e+00 +7.3760e-01 +2.5669e+00 +4.2744e+00 -3.1852e+00 +1.2371e+00 +8.0739e-01
12529 +4.046566091e+00 +4.046566091e+00 +9.698656609e+01 +9.698656609e+01 -5.0481e-01 +2.3291e-01 -3.0426e-01 +3.0584e+00 +2.2758e+00 +4.2011e+00 +2.5196e+00 -2.7506e+00 +3.4919e+00 +2.1075e+00 +1.2028e+00 -3.2835e+00 -1.3008e+00 +1.3242e+00 +1.1274e+00 +2.7275e+00 +4.3981e+00 -3.6203e+00 +1.2062e+00 +1.0125e+00
12549 +3.815250417e+00 +3.815250417e+00 +9.675525042e+01 +9.675525042e+01 -6.2694e-01 +9.6476e-02 -4.9495e-01 +3.1009e+00 +2.3029e+00 +4.0954e+00 +2.5808e+00 -2.7059e+00 +3.1479e+00 +2.1479e+00 +1.3069e+00 -3.1349e+00 -1.3940e+00 +1.3318e+00 +1.1098e+00 +2.9551e+00 +4.5925e+00 -3.4769e+00 +1.4090e+00 +8.3243e-01
12557 +3.676914739e+00 +3.676914739e+00 +9.661691474e+01 +9.661691474e+01 -7.2017e-01 +1.1934e-01 -5.1837e-01 +3.2447e+00 +2.2475e+00 +4.2063e+00 +2.6292e+00 -2.8387e+00 +3.1085e+00 +2.0816e+00 +1.1968e+00 -3.2216e+00 -1.4979e+00 +1.3658e+00 +1.1974e+00 +2.8476e+00 +4.6518e+00 -3.4701e+00 +1.0439e+00 +8.7529e-01
12977 +3.072789635e+00 +3.072789635e+00 +9.601278963e+01 +9.601278963e+01 -5.4337e-01 +6.2989e-01 +1.0197e-01 +3.2694e+00 +2.4158e+00 +4.3975e+00 +2.4709e+00 -2.8626e+00 +2.9384e+00 +2.0373e+00 +1.2500e+00 -2.9518e+00 -1.6671e+00 +1.2793e+00 +9.7958e-01 +2.7573e+00 +4.4240e+00 -3.4995e+00 +1.8885e+00 +4.7820e-01
14405 +3.004864381e+00 +3.004864381e+00 +9.594486438e+01 +9.594486438e+01 -3.4837e-01 +5.2733e-01 -4.2984e-01 +3.3756e+00 +2.3729e+00 +3.4352e+00 +2.0892e+00 -2.7891e+00 +3.0220e+00 +2.2202e+00 +1.7602e+00 -3.6459e+00 -1.5463e+00 +1.1082e+00 +1.2757e+00 +2.9504e+00 +4.5587e+00 -3.3282e+00 +1.8657e+00 +7.8514e-01
14483 +2.606068618e+00 +2.606068618e+00 +9.554606862e+01 +9.554606862e+01 -1.8502e-01 +4.3236e-01 -6.5132e-01 +3.2343e+00 +2.3735e+00 +3.7524e+00 +2.1254e+00 -2.8515e+00 +3.2704e+00 +2.1910e+00 +1.6286e+00 -3.7032e+00 -1.6585e+00 +9.8790e-01 +1.1259e+00 +2.8922e+00 +4.4787e+00 -3.2030e+00 +1.7682e+00 +9.6563e-01
14502 +2.521899697e+00 +2.521899697e+00 +9.546189970e+01 +9.546189970e+01 +1.9407e-02 +3.7974e-01 -5.8849e-01 +3.1901e+00 +2.3355e+00 +3.7383e+00 +2.0705e+00 -3.0902e+00 +3.3883e+00 +2.1390e+00 +1.6563e+00 -3.6347e+00 -1.6913e+00 +9.0193e-01 +1.1883e+00 +2.6912e+00 +4.5720e+00 -3.2714e+00 +1.8433e+00 +9.6493e-01
15017 +2.405410680e+00 +2.405410680e+00 +9.534541068e+01 +9.534541068e+01 -3.7862e-01 +5.5387e-01 -1.0027e-01 +3.0203e+00 +2.3339e+00 +3.7711e+00 +1.7936e+00 -2.7726e+00 +3.9936e+00 +2.1766e+00 +1.6272e+00 -3.3358e+00 -1.4291e+00 +9.5047e-01 +1.0939e+00 +2.8886e+00 +4.3835e+00 -3.3170e+00 +2.1976e+00 +7.5039e-01
