% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
19664 +1.138507865e+02 +1.138507865e+02 -3.482392135e+02 -3.482392135e+02 -4.4012e+00 +2.1237e+00 -5.3527e-01 +2.1554e+00 +9.6160e-01 +2.2994e+00 +2.5592e+00 +1.5578e+00 +1.7986e+00 +6.6119e-01 -2.2417e+00 -3.7265e+00 -2.4281e-01 -3.1397e+00 -1.3348e+00 -3.5116e+00 -7.0370e-01 +3.3248e+00 -2.8662e+00 +2.1843e+00
24263 +9.672826450e+01 +9.672826450e+01 -3.653617355e+02 -3.653617355e+02 -4.2288e+00 +1.3579e+00 -6.4984e-01 -3.3872e-02 -1.5883e-01 +2.9332e+00 +2.4775e+00 +3.1899e+00 +2.4032e+00 +1.8522e+00 -2.7921e+00 -4.3280e+00 -6.4083e-01 -3.0580e+00 -1.0265e+00 -3.9174e+00 -8.1002e-01 +3.6089e+00 -2.7649e+00 +2.2129e+00
29638 +9.189321343e+01 +9.189321343e+01 -3.701967866e+02 -3.701967866e+02 -3.3708e+00 +5.0292e+00 -5.7021e-01 -1.8164e+00 -5.4020e-02 +3.5091e+00 +2.5848e+00 +1.9179e+00 +2.4812e+00 +1.1452e+00 -3.4359e+00 -4.2824e+00 -1.8258e-01 -2.0689e+00 -9.4721e-01 -3.4778e+00 -7.0154e-01 +3.6627e+00 -2.8063e+00 +2.4863e+00
29649 +9.068158312e+01 +9.068158312e+01 -3.714084169e+02 -3.714084169e+02 -3.3770e+00 +5.1280e+00 -4.0751e-01 -1.9092e+00 -1.7440e-01 +3.6088e+00 +2.5785e+00 +1.8571e+00 +2.4708e+00 +1.1787e+00 -3.3131e+00 -4.2880e+00 -1.5899e-01 -2.0368e+00 -9.5379e-01 -3.4493e+00 -6.9600e-01 +3.6468e+00 -2.7894e+00 +2.4766e+00
30187 +8.833037065e+01 +8.833037065e+01 -3.737596294e+02 -3.737596294e+02 -3.4584e+00 +5.0548e+00 -5.7119e-01 -1.8587e+00 -2.7129e-01 +3.5964e+00 +2.5675e+00 +1.8973e+00 +2.5181e+00 +1.1193e+00 -3.2786e+00 -4.2779e+00 -8.1330e-02 -2.0100e+00 -9.1859e-01 -3.4811e+00 -7.3343e-01 +3.6837e+00 -2.8256e+00 +2.4854e+00
30271 +8.438349546e+01 +8.438349546e+01 -3.777065045e+02 -3.777065045e+02 -3.3861e+00 +5.0390e+00 -5.2263e-01 -1.8289e+00 -9.6726e-02 +3.4473e+00 +2.5941e+00 +1.9399e+00 +2.5197e+00 +1.0912e+00 -3.2279e+00 -4.2774e+00 -1.2749e-01 -2.0166e+00 -9.1794e-01 -3.4839e+00 -6.7279e-01 +3.6252e+00 -2.8246e+00 +2.4274e+00
30517 +8.057623759e+01 +8.057623759e+01 -3.815137624e+02 -3.815137624e+02 -3.3987e+00 +4.8027e+00 -4.5960e-01 -1.8273e+00 -1.6302e-01 +3.4372e+00 +2.5905e+00 +1.8656e+00 +2.3763e+00 +1.1110e+00 -3.3386e+00 -4.3531e+00 -1.4917e-01 -2.0188e+00 -9.3056e-01 -3.4568e+00 -7.4573e-01 +3.7658e+00 -2.8594e+00 +2.4662e+00
30929 +7.614111716e+01 +7.614111716e+01 -3.859488828e+02 -3.859488828e+02 -3.4114e+00 +4.9874e+00 -4.9444e-01 -1.9248e+00 -1.4945e-01 +3.5103e+00 +2.5869e+00 +1.9891e+00 +2.4912e+00 +1.1488e+00 -3.3023e+00 -4.3460e+00 -1.3378e-01 -1.9984e+00 -9.2291e-01 -3.4581e+00 -7.3289e-01 +3.3537e+00 -2.8558e+00 +2.4456e+00
31165 +7.520276085e+01 +7.520276085e+01 -3.868872391e+02 -3.868872391e+02 -3.3465e+00 +5.1090e+00 -5.2790e-01 -1.8155e+00 -2.1577e-01 +3.5936e+00 +2.5756e+00 +1.8632e+00 +2.4067e+00 +1.0944e+00 -3.3364e+00 -4.3609e+00 -1.7566e-01 -2.0199e+00 -9.2299e-01 -3.4608e+00 -6.8107e-01 +3.3719e+00 -2.7911e+00 +2.4545e+00
31227 +6.903992765e+01 +6.903992765e+01 -3.930500723e+02 -3.930500723e+02 -3.3627e+00 +4.9181e+00 -6.0518e-01 -1.7947e+00 -1.1651e-01 +3.6699e+00 +2.5683e+00 +1.8455e+00 +2.3803e+00 +1.1091e+00 -3.2937e+00 -4.2955e+00 -1.4981e-01 -2.0050e+00 -9.2325e-01 -3.4659e+00 -7.2525e-01 +3.3833e+00 -2.8389e+00 +2.4826e+00
32243 +6.702759994e+01 +6.702759994e+01 -3.950624001e+02 -3.950624001e+02 -3.2864e+00 +5.0511e+00 -4.6537e-01 -1.8949e+00 -7.8614e-02 +3.6824e+00 +2.5692e+00 +1.9416e+00 +2.3817e+00 +1.1403e+00 -3.3000e+00 -4.2670e+00 -1.6315e-01 -2.0132e+00 -9.1953e-01 -3.4736e+00 -7.0541e-01 +3.3499e+00 -2.8393e+00 +2.4384e+00
34294 +6.593249776e+01 +6.593249776e+01 -3.961575022e+02 -3.961575022e+02 -3.3571e+00 +5.0540e+00 -5.4248e-01 -1.8255e+00 -1.3645e-01 +3.6374e+00 +2.5825e+00 +1.8688e+00 +2.3683e+00 +1.1277e+00 -3.3338e+00 -4.2501e+00 -1.4213e-01 -2.0087e+00 -9.0190e-01 -3.4579e+00 -7.1128e-01 +3.3466e+00 -2.7993e+00 +2.4495e+00
35631 +6.450280666e+01 +6.450280666e+01 -3.975871933e+02 -3.975871933e+02 -3.3247e+00 +4.9218e+00 -5.3860e-01 -1.8236e+00 -1.2720e-01 +3.6718e+00 +2.5320e+00 +1.9286e+00 +2.4202e+00 +1.1322e+00 -3.3147e+00 -4.2742e+00 -1.3149e-01 -2.0071e+00 -9.0975e-01 -3.4888e+00 -6.9646e-01 +3.3469e+00 -2.8273e+00 +2.4438e+00
